Mumtaz Brothers,Unnamed: 1,Unnamed: 2,new_column
Name,Ashfaq,,
,,,Rate
Brands,Wt/gms,Packing,Rs
Adams Cheddar 200 gm,200gm,72,381.13
Adams Cheddar 400 gm,400gm,36,741.2
Adams Cheddar  907 gm,907gm,18,1263.6
Adams Cheddar 2 Kg,2Kg,10,2059.2
 Adams  Mozzrella Cheese 200 gm,200gm,72,409.5
 Adams  Mozzrella Cheese 400 gm,400gm,36,803.79
 Adams Buffalo Mozz 200 gm,200gm,72,409.5
Adams Buffalo Mozz 400 gm,400gm,36,803.79
Adams Buffalo Mozz 2 KG,2KG,8,2767.05
Adams Pizza Cheese 200 Gm,200Gm,72,444.6
Adams Pizza Cheese 400 Gm,400Gm,36,868.73
Adams Pizza Cheese 2 KG,2KG,8,2416.05
Adams Single Cheese Slice 200 Gm,200Gm,72,377.33
Adams Single Cheese Slice 1 KG,1KG,15,1158.3
Adams Burger Cheese Slice 200 Gm,200Gm,72,424.13
Adams Burger Cheese Slice 1 Kg,1Kg,15,1199.25
Adams Chilli Cheese 200 Gm,200Gm,72,381.13
Adams Diet Cheese 200 Gm,200Gm,72,424.13
Adams Cottage Cheese 200 Gm,200Gm,72,330.23
 Adams Mozzarella Single 200 Gm,200Gm,72,424.13
ADAM'S TOAST CHEESE SLICES 200GM,200GM,72,389.61
ADAM'S SANDWICH CHEESE SLICES 200GM,200GM,72,389.61
Amson Yoghurt 1 Kg,1Kg,25,169.65
Amson Yoghurt 1/2 Kg,2Kg,50,88.92
Adams Yoghurt  Plain 400 Gm,400Gm,12,123.94
Adams Yoghurt Plain 200 Gm,200Gm,60,67.18
Adams Mint Raita 200 Gm,200Gm,60,67.18
Adams Zeera Raita 200 Gm,200Gm,60,67.18
Adams Zeera Raita 80 Gm,80Gm,150,21.06
Adams Salted Butter 50 Gm,50Gm,120,78.98
Adams Salted Butter  100 Gm,100Gm,60,154.44
 Adams  Salted Butter200 Gm,200Gm,30,274.95
Adams White Butter 1 Kg,1Kg,12,1023.75
Adams Desi Ghee 500 Gm,500Gm,18,558.68
Adams Desi Ghee  1 Kg,1Kg,12,1092.2
Adams Desi Ghee 2.5 Kg,5Kg,4,2670.53
Adams Sweet Lassi 225 Ml,225Ml,48,46.8
Adams Salted Lassi 225 Ml,225Ml,48,46.8
Adams Pasteurized Milk Pouch 1 Liter,25,25,111.25
Unbranded Adams Cheddar 2 Kg,10,10,1760
Unbranded Adams Buffalo Mozzarella 2kG,8,8,2365
Unbranded Adams Pizza Cheese 2 Kg,8,8,2065
Unbranded Adams Slice Cheese 1 KG,15,15,990
Unbranded Adams Burger Slice Cheese 1 Kg,15,15,1025
Unbranded Kaas Cheddar Cheese 2KG,10,10,1620
Unbranded Kaas Mozzarella 2 KG,8,8,2130
Unbranded Kaas Slice Cheese I Kg,15,15,880
Unbranded Burger Slice Cheese (Kaas) 1 Kg,15,15,915
UB Mix (Cheddar/D. Mozzarella) 2Kg,3,3,1970
UB Mix (D. Mozzarella-70/Cheddar-30) 2Kg,3,3,2035
Unbranded Danish Mozzeralla (A) 2 KG,8,8,2120
Adams Burger Cheese 2 Kg,10,10,1980
Unbranded White Butter 1 KG,12,12,875
UB Mix(D. Mozzarella) 2 Kg,3,3,2145
Adams Yoghurt Plain 80 Gm,80Gm,150,21.06
,,,116.5
